publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
<i>WORD</i>	0043-7956	2373-5112	1997-04	48	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rwrd20		rwrd20		fulltext		Routledge	Serial								P
AIDS Care	0954-0121	1360-0451	1995-02	7	1				http://www.tandfonline.com/openurl?genre=journal&stitle=caic20		caic20		fulltext		Routledge	Serial								P
AJOB Empirical Bioethics	2329-4515	2329-4523	2014-01	5	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uabr21		uabr21		fulltext		Taylor & Francis	Serial							10.1080/uabr20	P
AJOB Neuroscience	2150-7740	2150-7759	2010-02	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uabn20		uabn20		fulltext		Taylor & Francis	Serial								P
AJOB Primary Research	2150-7716	2150-7724	2010-05	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uabr20		uabr20		fulltext		Taylor & Francis	Serial								P
ANQ: A Quarterly Journal of Short Articles, Notes and Reviews	0895-769X	1940-3364	1997-01	10	1				http://www.tandfonline.com/openurl?genre=journal&stitle=vanq20		vanq20		fulltext		Routledge	Serial								P
Accountability in Research	0898-9621	1545-5815	1997-01	5	1-3				http://www.tandfonline.com/openurl?genre=journal&stitle=gacr20		gacr20		fulltext		Taylor & Francis	Serial								P
Accounting Education	0963-9284	1468-4489	1997-03	6	1				http://www.tandfonline.com/openurl?genre=journal&stitle=raed20		raed20		fulltext		Routledge	Serial								P
Accounting History Review	2155-2851	2155-286X	2011-03	21	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rabf21		rabf21		fulltext		Routledge	Serial							10.1080/rabf20	P
Accounting and Business Research	0001-4788	2159-4260	1997-03	27	2				http://www.tandfonline.com/openurl?genre=journal&stitle=rabr20		rabr20		fulltext		Routledge	Serial								P
Accounting in Europe	1744-9480	1744-9499	2004-09	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=raie20		raie20		fulltext		Routledge	Serial								P
Accounting, Business & Financial History	0958-5206	1466-4275	1997-02	7	1	2010-11	20	3	http://www.tandfonline.com/openurl?genre=journal&stitle=rabf20		rabf20		fulltext		Routledge	Serial								P
Acta Agriculturae Scandinavica, Section A — Animal Science	0906-4702	1651-1972	1997-02	47	1				http://www.tandfonline.com/openurl?genre=journal&stitle=saga20		saga20		fulltext		Taylor & Francis	Serial							10.1080/saga19	P
Acta Agriculturae Scandinavica, Section B — Soil & Plant Science	0906-4710	1651-1913	1997-03	47	1				http://www.tandfonline.com/openurl?genre=journal&stitle=sagb20		sagb20		fulltext		Taylor & Francis	Serial							10.1080/saga19	P
Acta Agriculturae Scandinavica, Section C — Food Economics	1650-7541	1651-288X	2004-01	1	1	2011-12	8	4	http://www.tandfonline.com/openurl?genre=journal&stitle=sagc20		sagc20		fulltext		Taylor & Francis	Serial								P
Acta Borealia	0800-3831	1503-111X	1997-01	14	1				http://www.tandfonline.com/openurl?genre=journal&stitle=sabo20		sabo20		fulltext		Routledge	Serial								P
Acta Botanica Gallica	1253-8078	2166-3408	1997-01	144	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tabg20		tabg20		fulltext		Taylor & Francis	Serial							10.1080/tabg18,10.1080/tabg19	P
Acta Linguistica Hafniensia	0374-0463	1949-0763	1997-01	29	1				http://www.tandfonline.com/openurl?genre=journal&stitle=salh20		salh20		fulltext		Routledge	Serial							10.1080/salh19	P
Acta Zoologica Lituanica	1392-1657	1648-6919	1997-01	6	1	2011-01	21	4	http://www.tandfonline.com/openurl?genre=journal&stitle=tzec19		tzec19		fulltext		Taylor & Francis	Serial								P
Action Learning: Research and Practice	1476-7333	1476-7341	2004-04	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=calr20		calr20		fulltext		Routledge	Serial								P
Action in Teacher Education	0162-6620	2158-6098	1997-01	18	4				http://www.tandfonline.com/openurl?genre=journal&stitle=uate20		uate20		fulltext		Routledge	Serial								P
Activities, Adaptation & Aging	0192-4788	1544-4368	1997-01	21	3				http://www.tandfonline.com/openurl?genre=journal&stitle=waaa20		waaa20		fulltext		Routledge	Serial								P
Adelphi Series	1944-5571	1944-558X	2010-04	50	412-413				http://www.tandfonline.com/openurl?genre=journal&stitle=tadl20		tadl20		fulltext		Routledge	Serial							10.1080/tadl19	P
Adipocyte	2162-3945	2162-397X	2012-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=kadi20		kadi20		fulltext		Taylor & Francis	Serial								P
Administration in Social Work	0364-3107	1544-4376	1997-03	21	1	2013-11	37	5	http://www.tandfonline.com/openurl?genre=journal&stitle=wasw20		wasw20		fulltext		Routledge	Serial								P
Administrative Theory & Praxis	1084-1806	1949-0461	2002-05	24	1				http://www.tandfonline.com/openurl?genre=journal&stitle=madt20		madt20		fulltext		Routledge	Serial								P
Adoption Quarterly	1092-6755	1544-452X	1997-09	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=wado20		wado20		fulltext		Routledge	Serial								P
Advanced Composite Materials	0924-3046	1568-5519	1997-01	6	2				http://www.tandfonline.com/openurl?genre=journal&stitle=tacm20		tacm20		fulltext		Taylor & Francis	Serial								P
Advanced Robotics	0169-1864	1568-5535	1997-01	12	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tadr20		tadr20		fulltext		Taylor & Francis	Serial								P
Advances in Building Energy Research	1751-2549	1756-2201	2007-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=taer20		taer20		fulltext		Taylor & Francis	Serial								P
Advances in Eating Disorders	2166-2630	2166-2649	2013-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=reat20		reat20		fulltext		Routledge	Serial								P
Advances in Mathematics Education	1463-6441		1999-01	1	1	1999-01	1	1	http://www.tandfonline.com/openurl?genre=journal&stitle=rrme19		rrme19		fulltext		Routledge	Serial								P
Advances in Mental Health	1838-7357	1837-4905	2010-08	9	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ramh20		ramh20		fulltext		Routledge	Serial							10.1080/ramh19	P
Advances in Oceanography and Limnology	1947-5721	1947-573X	2010-06	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=taol20		taol20		fulltext		Taylor & Francis	Serial								P
Advances in Physics	0001-8732	1460-6976	1997-02	46	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tadp20		tadp20		fulltext		Taylor & Francis	Serial								P
Advances in School Mental Health Promotion	1754-730X	2049-8535	2008-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rasm20		rasm20		fulltext		Routledge	Serial								P
Advances in the History of Rhetoric	1536-2426	1936-0835	1998-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uahr20		uahr20		fulltext		Routledge	Serial								P
Aerosol Science and Technology	0278-6826	1521-7388	1997-01	26	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uast20		uast20		fulltext		Taylor & Francis	Serial								P
Africa Education Review	1814-6627	1753-5921	2004-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=raer20		raer20		fulltext		Routledge	Serial								P
Africa Journal of Management	2332-2373	2332-2381	2015-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rajm20		rajm20		fulltext		Routledge	Serial								P
Africa Review	0974-4053	0974-4061	2009-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rafr20		rafr20		fulltext		Routledge	Serial								P
African Geographical Review	1937-6812	2163-2642	2001-12	21	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rafg20		rafg20		fulltext		Routledge	Serial							10.1080/rafg19	P
African Historical Review	1753-2523	1753-2531	2007-07	39	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rahr20		rahr20		fulltext		Routledge	Serial							10.1080/rahr19	P
African Identities	1472-5843	1472-5851	2003-04	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cafi20		cafi20		fulltext		Routledge	Serial								P
African Journal of AIDS Research	1608-5906	1727-9445	2002-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=raar20		raar20		fulltext		Routledge	Serial								P
African Journal of Aquatic Science	1608-5914	1727-9364	2000-01	25	1				http://www.tandfonline.com/openurl?genre=journal&stitle=taas20		taas20		fulltext		Taylor & Francis	Serial							10.1080/taas19	P
African Journal of Herpetology	2156-4574	2153-3660	1997-01	46	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ther20		ther20		fulltext		Taylor & Francis	Serial							10.1080/ther19	P
African Journal of Marine Science	1814-232X	1814-2338	2003-06	25	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tams20		tams20		fulltext		Taylor & Francis	Serial							10.1080/tams19	P
African Journal of Range & Forage Science	1022-0119	1727-9380	1997-04	14	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tarf20		tarf20		fulltext		Taylor & Francis	Serial							10.1080/tarf19	P
African Journal of Science, Technology, Innovation and Development	2042-1338	2042-1346	2013-02	5	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rajs20		rajs20		fulltext		Routledge	Serial								P
African Journalism Studies	2374-3670	2374-3689	2015-01	36	1				http://www.tandfonline.com/openurl?genre=journal&stitle=recq21		recq21		fulltext		Routledge	Serial							10.1080/recq20	P
African Languages and Cultures	0954-416X		1997-06	10	1	1997-12	10	2	http://www.tandfonline.com/openurl?genre=journal&stitle=cjac19		cjac19		fulltext		Routledge	Serial								P
African Security	1939-2206	1939-2214	2008-08	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uafs20		uafs20		fulltext		Routledge	Serial								P
African Security Review	1024-6029	2154-0128	1997-01	6	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rasr20		rasr20		fulltext		Routledge	Serial								P
African Studies	0002-0184	1469-2872	1997-01	56	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cast20		cast20		fulltext		Routledge	Serial							10.1080/cast19	P
African Zoology	1562-7020	2224-073X	2000-04	35	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tafz20		tafz20		fulltext		Taylor & Francis	Serial							10.1080/tafz19	P
African and Black Diaspora: An International Journal	1752-8631	1752-864X	2008-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rabd20		rabd20		fulltext		Routledge	Serial								P
Agenda	1013-0950	2158-978X	1997-01	13	32				http://www.tandfonline.com/openurl?genre=journal&stitle=ragn20		ragn20		fulltext		Routledge	Serial								P
Aging & Mental Health	1360-7863	1364-6915	1997-02	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=camh20		camh20		fulltext		Routledge	Serial								P
Aging, Neuropsychology, and Cognition	1382-5585	1744-4128	1997-03	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=nanc20		nanc20		fulltext		Routledge	Serial								P
Agrekon	0303-1853	2078-0400	1997-03	36	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ragr20		ragr20		fulltext		Routledge	Serial								P
